Observation date,gas_price,int_rate,une_rate,m_supply,inflation_change,gas_price_change,int_rate_change,une_rate,m_supply_change
12/1/2008,1.687,0.16,7.3,8192.1,-1,0.101,-0.01,0.5,81.6
1/1/2009,1.788,0.15,7.8,8273.7,0.4,0.135,0.07,0.5,29.4
2/1/2009,1.923,0.22,8.3,8303.1,0.5,0.036,-0.04,0.4,66.2
3/1/2009,1.959,0.18,8.7,8369.3,0.2,0.09,-0.03,0.3,3.6
4/1/2009,2.049,0.15,9,8372.9,0.2,0.217,0.03,0.4,57.8
5/1/2009,2.266,0.18,9.4,8430.7,0.3,0.365,0.03,0.1,9.8
6/1/2009,2.631,0.21,9.5,8440.5,0.9,-0.104,-0.05,0,4.6
7/1/2009,2.527,0.16,9.5,8445.1,-0.2,0.089,0,0.1,-0.1
8/1/2009,2.616,0.16,9.6,8445,0.2,-0.062,-0.01,0.2,-0.8
9/1/2009,2.554,0.15,9.8,8444.2,0.1,-0.003,-0.03,0.2,26.9
10/1/2009,2.551,0.12,10,8471.1,0.1,0.1,0,-0.1,29.7
11/1/2009,2.651,0.12,9.9,8500.8,0.1,-0.044,0,0,-4.8
12/1/2009,2.607,0.12,9.9,8496,-0.2,0.108,-0.01,-0.1,-37.9
1/1/2010,2.715,0.11,9.8,8458.1,0.3,-0.071,0.02,0,49.3
2/1/2010,2.644,0.13,9.8,8507.4,0,0.128,0.03,0.1,-2.9
3/1/2010,2.772,0.16,9.9,8504.5,0.4,0.076,0.04,0,30.7
4/1/2010,2.848,0.2,9.9,8535.2,0.2,-0.012,0,-0.3,54.7
5/1/2010,2.836,0.2,9.6,8589.9,0.1,-0.104,-0.02,-0.2,19.1
6/1/2010,2.732,0.18,9.4,8609,-0.1,-0.003,0,0,9.8
7/1/2010,2.729,0.18,9.4,8618.8,0,0.001,0.01,0.1,50.3
8/1/2010,2.73,0.19,9.5,8669.1,0.1,-0.025,0,0,31
9/1/2010,2.705,0.19,9.5,8700.1,0.1,0.096,0,-0.1,49.3
10/1/2010,2.801,0.19,9.4,8749.4,0.1,0.058,0,0.4,20.6
11/1/2010,2.859,0.19,9.8,8770,0,0.134,-0.01,-0.5,31.8
12/1/2010,2.993,0.18,9.3,8801.8,0.2,0.102,-0.01,-0.2,21.3
1/1/2011,3.095,0.17,9.1,8823.1,0.5,0.116,-0.01,-0.1,63.8
2/1/2011,3.211,0.16,9,8886.9,0.5,0.35,-0.02,0,56.6
3/1/2011,3.561,0.14,9,8943.5,1,0.239,-0.04,0.1,61.4
4/1/2011,3.8,0.1,9.1,9004.9,0.6,0.106,-0.01,-0.1,70.6
5/1/2011,3.906,0.09,9,9075.5,0.5,-0.226,0,0.1,75.5
6/1/2011,3.68,0.09,9.1,9151,-0.1,-0.03,-0.02,-0.1,165.6
7/1/2011,3.65,0.07,9,9316.6,0.1,-0.011,0.03,0,191
8/1/2011,3.639,0.1,9,9507.6,0.3,-0.028,-0.02,0,20.7
9/1/2011,3.611,0.08,9,9528.3,0.2,-0.163,-0.01,-0.2,33.8
10/1/2011,3.448,0.07,8.8,9562.1,-0.2,-0.064,0.01,-0.2,50.5
11/1/2011,3.384,0.08,8.6,9612.6,-0.1,-0.118,-0.01,-0.1,47.5
12/1/2011,3.266,0.07,8.5,9660.1,-0.2,0.114,0.01,-0.2,73.2
1/1/2012,3.38,0.08,8.3,9733.3,0.4,0.199,0.02,0,52.4
2/1/2012,3.579,0.1,8.3,9785.7,0.4,0.273,0.03,-0.1,44.9
3/1/2012,3.852,0.13,8.2,9830.6,0.8,0.048,0.01,0,54
4/1/2012,3.9,0.14,8.2,9884.6,0.3,-0.168,0.02,0,43.8
5/1/2012,3.732,0.16,8.2,9928.4,-0.1,-0.193,0,0,70.9
6/1/2012,3.539,0.16,8.2,9999.3,-0.1,-0.1,0,0,52.5
7/1/2012,3.439,0.16,8.2,10051.8,-0.2,0.283,-0.03,-0.1,69.5
8/1/2012,3.722,0.13,8.1,10121.3,0.6,0.127,0.01,-0.3,79.5
9/1/2012,3.849,0.14,7.8,10200.8,0.4,-0.103,0.02,0,66.5
10/1/2012,3.746,0.16,7.8,10267.3,0,-0.294,0,-0.1,70.3
11/1/2012,3.452,0.16,7.7,10337.6,-0.5,-0.142,0,0.2,122.1
12/1/2012,3.31,0.16,7.9,10459.7,-0.3,0.009,-0.02,0.1,23.2
1/1/2013,3.319,0.14,8,10482.9,0.3,0.351,0.01,-0.3,18.4
2/1/2013,3.67,0.15,7.7,10501.3,0.8,0.041,-0.01,-0.2,57
3/1/2013,3.711,0.14,7.5,10558.3,0.3,-0.141,0.01,0.1,28
4/1/2013,3.57,0.15,7.6,10586.3,-0.1,0.045,-0.04,-0.1,34.7
5/1/2013,3.615,0.11,7.5,10621,0.2,0.011,-0.02,0,57.7
6/1/2013,3.626,0.09,7.5,10678.7,0.2,-0.035,0,-0.2,39.7
7/1/2013,3.591,0.09,7.3,10718.4,0,-0.017,-0.01,-0.1,58.2
8/1/2013,3.574,0.08,7.2,10776.6,0.1,-0.042,0,0,60.6
9/1/2013,3.532,0.08,7.2,10837.2,0.1,-0.188,0.01,0,124.4
10/1/2013,3.344,0.09,7.2,10961.6,-0.3,-0.101,-0.01,-0.3,8.1
11/1/2013,3.243,0.08,6.9,10969.7,-0.2,0.033,0.01,-0.2,65.3
12/1/2013,3.276,0.09,6.7,11035,0,0.037,-0.02,-0.1,70.7
1/1/2014,3.313,0.07,6.6,11105.7,0.4,0.043,0,0.1,65.5
2/1/2014,3.356,0.07,6.7,11171.2,0.4,0.177,0.01,0,36.9
3/1/2014,3.533,0.08,6.7,11208.1,0.6,0.128,0.01,-0.5,45
4/1/2014,3.661,0.09,6.2,11253.1,0.3,0.012,0,0.1,64.8
5/1/2014,3.673,0.09,6.3,11317.9,0.3,0.019,0.01,-0.2,55.6
6/1/2014,3.692,0.1,6.1,11373.5,0.2,-0.081,-0.01,0.1,53.9
7/1/2014,3.611,0.09,6.2,11427.4,0,-0.124,0,-0.1,24.5
8/1/2014,3.487,0.09,6.1,11451.9,-0.2,-0.081,0,-0.2,41.8
9/1/2014,3.406,0.09,5.9,11493.7,0.1,-0.235,0,-0.2,74.4
10/1/2014,3.171,0.09,5.7,11568.1,-0.3,-0.259,0,0.1,40.7
11/1/2014,2.912,0.09,5.8,11608.8,-0.5,-0.369,0.03,-0.2,83.2
12/1/2014,2.543,0.12,5.6,11692,-0.6,-0.427,-0.01,0.1,72.6
1/1/2015,2.116,0.11,5.7,11764.6,-0.5,0.1,0,-0.2,106.2
2/1/2015,2.216,0.11,5.5,11870.8,0.4,0.248,0,-0.1,12.8
3/1/2015,2.464,0.11,5.4,11883.6,0.6,0.005,0.01,0,39.6
4/1/2015,2.469,0.12,5.4,11923.2,0.2,0.249,0,0.2,31.2
5/1/2015,2.718,0.12,5.6,11954.4,0.5,0.084,0.01,-0.3,46.1
6/1/2015,2.802,0.13,5.3,12000.5,0.4,-0.008,0,-0.1,49.4
7/1/2015,2.794,0.13,5.2,12049.9,0,-0.158,0.01,-0.1,50.3
8/1/2015,2.636,0.14,5.1,12100.2,-0.1,-0.271,0,-0.1,60.5
9/1/2015,2.365,0.14,5,12160.7,-0.2,-0.075,-0.02,0,40.1
10/1/2015,2.29,0.12,5,12200.8,0,-0.132,0,0.1,89
11/1/2015,2.158,0.12,5.1,12289.8,-0.2,-0.12,0.12,-0.1,60.8
12/1/2015,2.038,0.24,5,12350.6,-0.3,-0.089,0.1,-0.2,129.4
1/1/2016,1.949,0.34,4.8,12480,0.2,-0.185,0.04,0.1,66.7
2/1/2016,1.764,0.38,4.9,12546.7,0.1,0.205,-0.02,0.1,62.6
3/1/2016,1.969,0.36,5,12609.3,0.4,0.144,0.01,0.1,83.5
